ID	Stream	Lat	Lon	Elev	Sub	Well	N	logN	logNcen	logNcen2	P	date_begin	date_end	HerbBA	HerbBSub	Cover	Light	Vx	Width	R	NPP	Chl	logChl	GPP	AmbNH4	AmbNO3	AmbPO4	SR	AbunR	ER1	HR1	SA	AbunA	EA1	HA1
BU	Buckeye Creek	38.25855	119.27215	2012	41	5	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/4/06	0.0000	0.0000	0.04 	922	2.10	4.0	0.0261	0.0082	0.1932	-0.7139	0.0343	1.258	2.830	0.375	139	1079563	0.63	2.89	51	528264	0.47	1.83
BU	Buckeye Creek	38.25855	119.27215	2012	41	2	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/4/06	0.0000	0.0000	0.04 	1133	2.10	4.0	0.0335	0.0152	0.4000	-0.3979	0.0487	1.258	2.830	0.375	139	1079563	0.63	2.89	61	1783285	0.43	1.75
BU	Buckeye Creek	38.25855	119.27215	2012	41	4	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/26/06	9/4/06	0.0000	0.0000	0.04 	960	2.10	4.0	0.0295	0.0305	0.7730	-0.1118	0.0599	1.258	2.830	0.375	139	1079563	0.63	2.89	60	952183	0.42	1.72
BU	Buckeye Creek	38.25855	119.27215	2012	41	3	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/4/06	0.0000	0.0000	0.04 	1029	2.10	4.0	0.0313	0.0375	6.5940	0.8191	0.0688	1.258	2.830	0.375	139	1079563	0.63	2.89	63	2212530	0.35	1.43
BU	Buckeye Creek	38.25855	119.27215	2012	41	1	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/4/06	0.0000	0.0000	0.04 	1175	2.10	4.0	0.0324	0.0224	10.8361	1.0349	0.0549	1.258	2.830	0.375	139	1079563	0.63	2.89	66	6414810	0.27	1.13
CC	Convict Creek	37.61460	118.83318	2175	2	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/7/06	0.0051	0.0000	0.17 	36	10.30	4.0	0.0112	0.0017	0.0020	-2.6990	0.0129	0.660	1.620	0.090	68	372433	0.65	2.34	37	547158	0.44	1.61
CC	Convict Creek	37.61460	118.83318	2175	2	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/7/06	0.0000	0.0000	0.17 	37	10.30	4.0	0.0128	0.0028	0.0047	-2.3267	0.0156	0.660	1.620	0.090	68	372433	0.65	2.34	14	483445	0.53	1.40
CC	Convict Creek	37.61460	118.83318	2175	2	3	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/7/06	0.0203	0.0000	0.17 	39	10.30	4.0	0.0122	0.0031	0.0189	-1.7246	0.0153	0.660	1.620	0.090	68	372433	0.65	2.34	15	458604	0.55	1.48
CC	Convict Creek	37.61460	118.83318	2175	2	1	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/27/06	9/7/06	0.0102	0.0000	0.17 	38	10.30	4.0	0.0117	0.0010	0.0566	-1.2475	0.0227	0.660	1.620	0.090	68	372433	0.65	2.34	33	447156	0.41	1.44
CC	Convict Creek	37.61460	118.83318	2175	2	4	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/7/06	0.0000	0.0000	0.17 	37	10.30	4.0	0.0099	0.0048	0.1400	-0.8539	0.0246	0.660	1.620	0.090	68	372433	0.65	2.34	5	21021	0.35	0.56
CC	Convict Creek	37.61460	118.83318	2175	28	1	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/7/06	0.0051	0.0000	0.00 	29	3.80	4.0	0.0121	0.0045	0.0010	-3.0000	0.0167	0.660	1.620	0.090	68	372433	0.65	2.34	31	1088558	0.25	0.85
CC	Convict Creek	37.61460	118.83318	2175	28	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/7/06	0.0051	0.0000	0.00 	35	3.80	4.0	0.0116	0.0051	0.0500	-1.3010	0.0168	0.660	1.620	0.090	68	372433	0.65	2.34	19	624851	0.42	1.24
CC	Convict Creek	37.61460	118.83318	2175	28	3	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/7/06	0.0051	0.0000	0.00 	38	3.80	4.0	0.0139	0.0061	0.0943	-1.0256	0.0200	0.660	1.620	0.090	68	372433	0.65	2.34	13	482806	0.49	1.25
CC	Convict Creek	37.61460	118.83318	2175	28	5	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/27/06	9/7/06	0.0000	0.0000	0.00 	38	3.80	4.0	0.0140	0.0100	0.3299	-0.4816	0.0240	0.660	1.620	0.090	68	372433	0.65	2.34	25	700013	0.36	1.16
CC	Convict Creek	37.61460	118.83318	2175	28	2	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/7/06	0.0000	0.0000	0.00 	36	3.80	4.0	0.0153	0.0058	0.2400	-0.6198	0.0211	0.660	1.620	0.090	68	372433	0.65	2.34	9	62423	0.66	1.44
CO	Cottonwood Creek	38.45082	119.43940	2007	52	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/25/06	9/5/06	0.0101	0.0151	0.73 	46	0.07	2.1	0.0519	0.0012	0.5845	-0.2332	0.0531	9.030	6.420	3.230	47	317069	0.66	2.14	12	1926758	0.32	0.79
CO	Cottonwood Creek	38.45082	119.43940	2007	52	1	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/25/06	9/5/06	0.0051	0.0151	0.73 	51	0.07	2.1	0.0546	-0.0003	0.6673	-0.1757	0.0543	9.030	6.420	3.230	47	317069	0.66	2.14	11	2428666	0.25	0.61
CO	Cottonwood Creek	38.45082	119.43940	2007	52	3	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/25/06	9/5/06	0.0000	0.0151	0.73 	45	0.07	2.1	0.0575	0.0100	0.7494	-0.1253	0.0556	9.030	6.420	3.230	47	317069	0.66	2.14	24	1130583	0.27	0.86
CO	Cottonwood Creek	38.45082	119.43940	2007	52	4	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/25/06	9/5/06	0.0000	0.0151	0.73 	41	0.07	2.1	0.0486	0.0049	0.7494	-0.1253	0.0534	9.030	6.420	3.230	47	317069	0.66	2.14	10	1945862	0.23	0.53
CO	Cottonwood Creek	38.45082	119.43940	2007	52	5	1.00E+00	0.00	3.54	12.52	6.25E-02	7/25/06	9/5/06	0.0051	0.0151	0.73 	35	0.07	2.1	0.0442	-0.0045	0.9010	-0.0453	0.0609	9.030	6.420	3.230	47	317069	0.66	2.14	7	99364	0.64	1.24
CO	Cottonwood Creek	38.45082	119.43940	2007	6	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/25/06	9/5/06	0.0101	0.0102	0.54 	969	0.21	2.1	0.0624	-0.0015	0.1744	-0.7585	0.0509	9.030	6.420	3.230	47	317069	0.66	2.14	21	171982	0.67	2.04
CO	Cottonwood Creek	38.45082	119.43940	2007	6	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/25/06	9/5/06	0.0000	0.0102	0.54 	975	0.21	2.1	0.0637	-0.0022	0.2310	-0.6365	0.0615	9.030	6.420	3.230	47	317069	0.66	2.14	23	715933	0.51	1.58
CO	Cottonwood Creek	38.45082	119.43940	2007	6	5	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/25/06	9/5/06	0.0101	0.0102	0.54 	1062	0.21	2.1	0.0576	-0.0048	0.1603	-0.7952	0.0527	9.030	6.420	3.230	47	317069	0.66	2.14	18	335677	0.49	1.43
CO	Cottonwood Creek	38.45082	119.43940	2007	6	3	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/25/06	9/5/06	0.0051	0.0102	0.54 	874	0.21	2.1	0.0633	-0.0008	0.3555	-0.4492	0.0600	9.030	6.420	3.230	47	317069	0.66	2.14	18	1062399	0.66	1.90
CO	Cottonwood Creek	38.45082	119.43940	2007	6	1	1.00E+00	0.00	3.54	12.52	6.25E-02	7/25/06	9/5/06	0.0051	0.0102	0.54 	799	0.21	2.1	0.0658	-0.0014	0.6834	-0.1653	0.0644	9.030	6.420	3.230	47	317069	0.66	2.14	16	1606373	0.30	0.84
GI	Gibbs Creek	37.93987	119.12257	2161	16	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/6/06	0.0000	0.0013	0.50 	1378	0.14	10.7	0.0236	-0.0081	0.1744	-0.7585	0.0155	10.510	1.670	2.300	52	697037	0.37	1.23	16	136310	0.71	1.98
GI	Gibbs Creek	37.93987	119.12257	2161	16	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/6/06	0.0000	0.0013	0.50 	1317	0.14	10.7	0.0237	-0.0139	0.1037	-0.9842	0.0097	10.510	1.670	2.300	52	697037	0.37	1.23	17	136310	0.76	2.15
GI	Gibbs Creek	37.93987	119.12257	2161	16	4	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/26/06	9/6/06	0.0000	0.0013	0.50 	1496	0.14	10.7	0.0231	-0.0091	0.0707	-1.1506	0.0141	10.510	1.670	2.300	52	697037	0.37	1.23	25	161162	0.58	1.85
GI	Gibbs Creek	37.93987	119.12257	2161	16	1	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/6/06	0.0000	0.0013	0.50 	1318	0.14	10.7	0.0263	-0.0017	0.1131	-0.9465	0.0246	10.510	1.670	2.300	52	697037	0.37	1.23	24	535676	0.49	1.56
GI	Gibbs Creek	37.93987	119.12257	2161	16	3	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/6/06	0.0000	0.0013	0.50 	1425	0.14	10.7	0.0233	-0.0094	0.1555	-0.8082	0.0140	10.510	1.670	2.300	52	697037	0.37	1.23	24	319123	0.47	1.51
GL	Glass Creek	37.74688	118.98345	2283	66	3	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/8/06	0.0000	0.0000	0.65 	52	0.12	4.0	0.0373	-0.0086	0.1508	-0.8215	0.0287	11.610	3.770	2.830	65	1222942	0.70	2.62	26	184716	0.77	2.52
GL	Glass Creek	37.74688	118.98345	2283	66	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/8/06	0.0000	0.0000	0.65 	65	0.12	4.0	0.0288	-0.0140	0.3000	-0.5229	0.0148	11.610	3.770	2.830	65	1222942	0.70	2.62	35	1413386	0.33	1.18
GL	Glass Creek	37.74688	118.98345	2283	66	1	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/8/06	0.0000	0.0000	0.65 	58	0.12	4.0	0.0330	0.0061	0.7683	-0.1145	0.0391	11.610	3.770	2.830	65	1222942	0.70	2.62	37	1569442	0.38	1.36
GL	Glass Creek	37.74688	118.98345	2283	66	2	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/27/06	9/8/06	0.0000	0.0000	0.65 	53	0.12	4.0	0.0367	-0.0075	1.4847	0.1716	0.0292	11.610	3.770	2.830	65	1222942	0.70	2.62	40	1656069	0.52	1.93
GL	Glass Creek	37.74688	118.98345	2283	66	4	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/8/06	0.0000	0.0000	0.65 	76	0.12	4.0	0.0364	-0.0058	1.2000	0.0792	0.0306	11.610	3.770	2.830	65	1222942	0.70	2.62	42	1567538	0.46	1.74
HA	Harvey Creek	38.28245	119.29845	2011	44	3	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/5/06	0.0000	0.0468	0.38 	246	10.30	2.4	0.0264	0.0031	0.8625	-0.0642	0.0294	6.540	2.900	2.940	112	1490199	0.59	2.45	36	1101289	0.56	2.01
HA	Harvey Creek	38.28245	119.29845	2011	44	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/5/06	0.0000	0.0468	0.38 	287	10.30	2.4	0.0263	0.0093	1.3527	0.1312	0.0356	6.540	2.900	2.940	112	1490199	0.59	2.45	54	2338245	0.37	1.47
HA	Harvey Creek	38.28245	119.29845	2011	44	4	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/5/06	0.0000	0.0468	0.38 	188	10.30	2.4	0.0254	0.0105	1.4282	0.1548	0.0359	6.540	2.900	2.940	112	1490199	0.59	2.45	50	1822951	0.45	1.78
HA	Harvey Creek	38.28245	119.29845	2011	44	1	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/5/06	0.0000	0.0468	0.38 	237	10.30	2.4	0.0253	0.0076	3.8980	0.5908	0.0329	6.540	2.900	2.940	112	1490199	0.59	2.45	47	5219131	0.42	1.63
LO	Lower Owens	37.70243	118.76855	2079	9	4	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/28/06	9/7/06	0.0092	0.0734	0.00 	1010	13.50	6.1	0.0040	0.0009	0.0377	-1.4236	0.0049	6.910	1.560	9.080	93	2292409	0.50	2.06	26	701926	0.13	0.44
LO	Lower Owens	37.70243	118.76855	2079	9	2	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/28/06	9/7/06	0.0000	0.0734	0.00 	1125	13.50	6.1	0.0017	0.0007	0.0189	-1.7246	0.0024	6.910	1.560	9.080	93	2292409	0.50	2.06	22	551602	0.43	1.32
LO	Lower Owens	37.70243	118.76855	2079	9	1	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/28/06	9/7/06	0.0367	0.0734	0.00 	1002	13.50	6.1	0.0025	0.0004	0.0566	-1.2475	0.0030	6.910	1.560	9.080	93	2292409	0.50	2.06	44	1342702	0.34	1.27
LO	Lower Owens	37.70243	118.76855	2079	9	3	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/28/06	9/7/06	0.0367	0.0734	0.00 	1032	13.50	6.1	0.0057	0.0051	0.1555	-0.8082	0.0080	6.910	1.560	9.080	93	2292409	0.50	2.06	35	6087921	0.07	0.25
LO	Lower Owens	37.70243	118.76855	2079	9	5	1.00E+00	0.00	3.54	12.52	6.25E-02	7/28/06	9/7/06	0.0138	0.0734	0.00 	1162	13.50	6.1	0.0045	0.0027	0.6599	-0.1805	0.0072	6.910	1.560	9.080	93	2292409	0.50	2.06	25	2714664	0.23	0.73
LR	Lower Rock Creek	37.55718	118.65850	2097	20	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/7/06	0.0000	0.0000	0.69 	131	21.20	3.5	0.0044	-0.0017	0.1932	-0.7139	0.0027	10.510	1.670	2.300	108	747378	0.69	2.81	58	1221043	0.71	2.88
LR	Lower Rock Creek	37.55718	118.65850	2097	20	1	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/7/06	0.0000	0.0000	0.69 	112	21.20	3.5	0.0051	0.0042	0.1744	-0.7585	0.0093	10.510	1.670	2.300	108	747378	0.69	2.81	62	822321	0.67	2.75
LR	Lower Rock Creek	37.55718	118.65850	2097	20	5	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/7/06	0.0000	0.0000	0.69 	144	21.20	3.5	0.0030	0.0082	0.5000	-0.3010	0.0112	10.510	1.670	2.300	108	747378	0.69	2.81	57	443975	0.71	2.88
LR	Lower Rock Creek	37.55718	118.65850	2097	20	3	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/7/06	0.0000	0.0000	0.69 	100	21.20	3.5	0.0104	0.0076	1.7345	0.2392	0.0180	10.510	1.670	2.300	108	747378	0.69	2.81	55	2678378	0.26	1.05
LV	Lee Vining Creek	37.93987	119.18273	2274	39	1	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/6/06	0.0000	0.0053	0.00 	1115	4.10	5.2	0.0066	0.0057	0.1414	-0.8495	0.0123	11.810	3.660	2.230	84	330737	0.67	2.39	31	307660	0.59	2.03
LV	Lee Vining Creek	37.93987	119.18273	2274	39	5	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/6/06	0.0000	0.0053	0.00 	1021	4.10	5.2	0.0059	0.0038	0.0189	-1.7246	0.0097	11.810	3.660	2.230	84	330737	0.67	2.39	33	178360	0.49	1.70
LV	Lee Vining Creek	37.93987	119.18273	2274	39	2	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/6/06	0.0000	0.0053	0.00 	1547	4.10	5.2	0.0124	0.0111	0.0707	-1.1506	0.0135	11.810	3.660	2.230	84	330737	0.67	2.39	34	704474	0.43	1.51
LV	Lee Vining Creek	37.93987	119.18273	2274	39	4	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/27/06	9/6/06	0.0000	0.0053	0.00 	900	4.10	5.2	0.0033	0.0016	0.0754	-1.1225	0.0090	11.810	3.660	2.230	84	330737	0.67	2.39	37	885375	0.43	1.56
LV	Lee Vining Creek	37.93987	119.18273	2274	39	3	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/6/06	0.0000	0.0053	0.00 	952	4.10	5.2	0.0045	0.0008	0.0141	-1.8495	0.0054	11.810	3.660	2.230	84	330737	0.67	2.39	57	750601	0.55	2.23
LW	Little Walker R.	38.32253	119.32253	2197	26	2	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/25/06	9/5/06	0.0000	0.0000	0.02 	953	0.20	4.8	0.0283	-0.0003	0.0848	-1.0714	0.0280	10.190	1.950	1.900	56	138411	0.66	2.14	17	99370	0.65	1.85
LW	Little Walker R.	38.32253	119.32253	2197	26	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/25/06	9/5/06	0.0000	0.0000	0.02 	714	0.20	4.8	0.0308	0.0055	0.1744	-0.7585	0.0363	10.190	1.950	1.900	56	138411	0.66	2.14	16	124843	0.64	1.77
LW	Little Walker R.	38.32253	119.32253	2197	26	5	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/25/06	9/5/06	0.0000	0.0000	0.02 	808	0.20	4.8	0.0324	0.0080	0.0189	-1.7246	0.0405	10.190	1.950	1.900	56	138411	0.66	2.14	14	65610	0.57	1.50
LW	Little Walker R.	38.32253	119.32253	2197	26	3	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/25/06	9/5/06	0.0000	0.0000	0.02 	710	0.20	4.8	0.0311	0.0082	0.0283	-1.5485	0.0394	10.190	1.950	1.900	56	138411	0.66	2.14	23	901921	0.22	0.68
LW	Little Walker R.	38.32253	119.32253	2197	26	1	1.00E+00	0.00	3.54	12.52	6.25E-02	7/25/06	9/5/06	0.0000	0.0000	0.02 	685	0.20	4.8	0.0274	0.0030	0.0754	-1.1225	0.0304	10.190	1.950	1.900	56	138411	0.66	2.14	18	43320	0.62	1.80
MC	McGee Creek	37.56640	118.78342	2281	27	4	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/27/06	9/8/06	0.0000	0.0212	0.44 	19	34.00	7.7	0.0038	-0.0020	0.0120	-1.9208	0.0018	0.213	1.560	0.034	37	322105	0.44	1.42	6	305734	0.39	0.70
MC	McGee Creek	37.56640	118.78342	2281	27	3	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/27/06	9/8/06	0.0042	0.0212	0.44 	21	34.00	7.7	0.0048	-0.0020	0.0180	-1.7447	0.0029	0.213	1.560	0.034	37	322105	0.44	1.42	7	163059	0.75	1.45
MC	McGee Creek	37.56640	118.78342	2281	27	1	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/27/06	9/8/06	0.0000	0.0212	0.44 	20	34.00	7.7	0.0047	0.0024	0.0613	-1.2127	0.0071	0.213	1.560	0.034	37	322105	0.44	1.42	9	91724	0.32	0.71
MC	McGee Creek	37.56640	118.78342	2281	27	5	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/27/06	9/8/06	0.0085	0.0212	0.44 	15	34.00	7.7	0.0113	0.0103	0.0754	-1.1225	0.0216	0.213	1.560	0.034	37	322105	0.44	1.42	27	297464	0.45	1.50
MC	McGee Creek	37.56640	118.78342	2281	27	2	1.00E+00	0.00	3.54	12.52	6.25E-02	7/27/06	9/8/06	0.0085	0.0212	0.44 	22	34.00	7.7	0.0049	0.0011	0.1603	-0.7952	0.0202	0.213	1.560	0.034	37	322105	0.44	1.42	11	624843	0.45	1.08
MI	Mill Creek	38.03027	119.17928	2204	17	3	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/26/06	9/7/06	0.0000	0.0000	0.75 	538	0.15	3.6	0.0361	-0.0001	0.2027	-0.6932	0.0360	11.410	2.070	2.710	69	998990	0.58	1.86	22	894916	0.30	0.91
MI	Mill Creek	38.03027	119.17928	2204	17	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/26/06	9/7/06	0.0000	0.0000	0.75 	329	0.15	3.6	0.0332	0.0025	0.1508	-0.8215	0.0357	11.410	2.070	2.710	69	998990	0.58	1.86	22	2046507	0.35	1.09
MI	Mill Creek	38.03027	119.17928	2204	17	5	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/26/06	9/7/06	0.0000	0.0000	0.75 	86	0.15	3.6	0.0352	0.0011	0.0283	-1.5485	0.0363	11.410	2.070	2.710	69	998990	0.58	1.86	26	345240	0.45	1.48
MI	Mill Creek	38.03027	119.17928	2204	17	1	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/26/06	9/7/06	0.0000	0.0000	0.75 	983	0.15	3.6	0.0397	0.0041	0.1508	-0.8215	0.0439	11.410	2.070	2.710	69	998990	0.58	1.86	28	3983456	0.32	1.07
MI	Mill Creek	38.03027	119.17928	2204	17	2	1.00E+00	0.00	3.54	12.52	6.25E-02	7/26/06	9/7/06	0.0000	0.0000	0.75 	448	0.15	3.6	0.0375	0.0014	0.0801	-1.0962	0.0389	11.410	2.070	2.710	69	998990	0.58	1.86	33	1425501	0.30	1.05
MM	Mammoth Creek	37.63050	118.99495	2460	34	3	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/24/06	9/3/06	0.0000	0.0000	0.56 	471	0.38	3.3	0.0172	-0.0012	0.0200	-1.6990	0.0160	5.570	1.770	1.550	90	820346	0.70	2.75	14	993633	0.59	1.56
MM	Mammoth Creek	37.63050	118.99495	2460	34	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/24/06	9/3/06	0.0051	0.0000	0.56 	30	0.38	3.3	0.0222	0.0096	0.1000	-1.0000	0.0317	5.570	1.770	1.550	90	820346	0.70	2.75	28	545234	0.61	2.03
MM	Mammoth Creek	37.63050	118.99495	2460	34	5	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/24/06	9/3/06	0.0017	0.0000	0.56 	24	0.38	3.3	0.0163	0.0064	0.0566	-1.2475	0.0227	5.570	1.770	1.550	90	820346	0.70	2.75	37	859255	0.44	1.59
MM	Mammoth Creek	37.63050	118.99495	2460	34	2	1.00E-02	-2.00	1.54	2.37	6.25E-04	7/24/06	9/3/06	0.0000	0.0000	0.56 	28	0.38	3.3	0.0202	0.0008	0.0848	-1.0714	0.0210	5.570	1.770	1.550	90	820346	0.70	2.75	26	1813386	0.25	0.83
MM	Mammoth Creek	37.63050	118.99495	2460	34	1	1.00E+00	0.00	3.54	12.52	6.25E-02	7/24/06	9/3/06	0.0000	0.0000	0.56 	43	0.38	3.3	0.0178	0.0004	0.1650	-0.7826	0.0182	5.570	1.770	1.550	90	820346	0.70	2.75	18	2674532	0.34	0.98
MM	Mammoth Creek	37.63050	118.99495	2460	42	3	0.00E+00	-6.00	-2.46	6.06	0.00E+00	7/24/06	9/3/06	0.0000	0.0000	0.46 	26	0.12	3.3	0.0197	0.0047	0.0330	-1.4816	0.0243	5.570	1.770	1.550	90	820346	0.70	2.75	19	239498	0.55	1.61
MM	Mammoth Creek	37.63050	118.99495	2460	42	4	1.00E-06	-5.70	-2.16	4.67	6.25E-08	7/24/06	9/3/06	0.0000	0.0000	0.46 	38	0.12	3.3	0.0200	0.0070	0.5797	-0.2368	0.0270	5.570	1.770	1.550	90	820346	0.70	2.75	26	525384	0.69	2.25
MM	Mammoth Creek	37.63050	118.99495	2460	42	1	1.00E-04	-4.00	-0.46	0.21	6.25E-06	7/24/06	9/3/06	0.0000	0.0000	0.46 	58	0.12	3.3	0.0211	0.0009	0.0707	-1.1506	0.0221	5.570	1.770	1.550	90	820346	0.70	2.75	37	681552	0.32	1.16
